学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
北京大学,北京,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：24(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：15(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,非全日制,专业：20(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,光华管理学院,(025100)(专业学位)金融,全日制,专业：37(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,光华管理学院,(025100)(专业学位)金融,全日制,专业：37(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,深圳研究生院,(025100)(专业学位)金融,全日制,专业：55(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,深圳研究生院,(025100)(专业学位)金融,全日制,专业：55(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,深圳研究生院,(025100)(专业学位)金融,全日制,专业：55(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
北京大学,北京,A,1,1,1,统考,深圳研究生院,(025100)(专业学位)金融,全日制,专业：55(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
中国人民大学,北京,A,1,1,1,统考,财政金融学院,(025100)(专业学位)金融,全日制,专业：79(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
中国人民大学,北京,A,1,1,1,统考,财政金融学院,(025100)(专业学位)金融,全日制,专业：79(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
中国人民大学,北京,A,1,1,1,统考,国际学院,(025100)(专业学位)金融,全日制,专业：33(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
清华大学,北京,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：15(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
清华大学,北京,A,1,1,1,统考,五道口金融学院,(025100)(专业学位)金融,全日制,研究方向：35(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
清华大学,北京,A,1,1,1,单考,五道口金融学院,(025100)(专业学位)金融,非全日制,研究方向：30(不含推免),(111)单独考试思想政治理论,(251)单独考试英语,(683)单独考试数学三,(806)单独考试金融学综合
北京航空航天大学,北京,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：13(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
中国农业大学,北京,A,1,1,1,统考,经济管理学院,(025100)(专业学位)金融,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
北京师范大学,北京,A,1,1,1,统考,经济与工商管理学院,(025100)(专业学位)金融,全日制,专业：44(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
中央民族大学,北京,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：48(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
南开大学,天津,A,1,1,1,统考,金融学院,(025100)(专业学位)金融,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
南开大学,天津,A,1,1,1,统考,金融学院,(025100)(专业学位)金融,非全日制,专业：9(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
天津大学,天津,A,1,1,1,统考,管理与经济学部,(025100)(专业学位)金融,全日制,专业：39(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）经济管理学院,(025100)(专业学位)金融,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）MBA-EMBA教育中心,(025100)(专业学位)金融,非全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）MBA-EMBA教育中心,(025100)(专业学位)金融,非全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）MBA-EMBA教育中心,(025100)(专业学位)金融,非全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
大连理工大学,辽宁,A,1,1,1,统考,（主校区）MBA-EMBA教育中心,(025100)(专业学位)金融,非全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(431)金融学综合
吉林大学,吉林,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
吉林大学,吉林,A,1,1,1,统考,南方研究院,(025100)(专业学位)金融,全日制,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
哈尔滨工业大学,黑龙江,A,1,1,1,统考,经济与管理学院,(025100)(专业学位)金融,非全日制,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：19(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：19(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：19(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,数学科学学院,(025100)(专业学位)金融,全日制,专业：19(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,经济学院,(025100)(专业学位)金融,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
复旦大学,上海,A,1,1,1,统考,大数据学院,(025100)(专业学位)金融,全日制,专业：20(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(431)金融学综合
同济大学,上海,A,1,1,1,统考,经济与管理学院,(025100)(专业学位)金融,非全日制,专业：27(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
同济大学,上海,A,1,1,1,统考,经济与管理学院,(025100)(专业学位)金融,非全日制,专业：27(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
同济大学,上海,A,1,1,1,统考,经济与管理学院,(025100)(专业学位)金融,非全日制,专业：27(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
同济大学,上海,A,1,1,1,统考,经济与管理学院,(025100)(专业学位)金融,非全日制,专业：27(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(431)金融学综合
