学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
中国人民大学,北京,A,1,1,1,统考,统计学院,(025200)(专业学位)应用统计,全日制,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
中国人民大学,北京,A,1,1,1,统考,统计与大数据研究院,(025200)(专业学位)应用统计,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
清华大学,北京,A,1,1,1,统考,数学科学系,(025200)(专业学位)应用统计,全日制,专业：7(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京交通大学,北京,A,0,1,1,统考,经济管理学院,(025200)(专业学位)应用统计,全日制,专业：9(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京交通大学,北京,A,0,1,1,统考,经济管理学院,(025200)(专业学位)应用统计,全日制,专业：9(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京交通大学,北京,A,0,1,1,统考,经济管理学院,(025200)(专业学位)应用统计,全日制,专业：9(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,统考,理学部,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,统考,理学部,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,统考,理学部,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,统考,理学部,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,统考,理学部,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,统考,理学部,(025200)(专业学位)应用统计,全日制,专业：16(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,单考,理学部,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,单考,理学部,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,单考,理学部,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,单考,理学部,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,单考,理学部,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京工业大学,北京,A,0,1,1,单考,理学部,(025200)(专业学位)应用统计,全日制,专业：1(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京理工大学,北京,A,1,1,1,统考,数学与统计学院,(025200)(专业学位)应用统计,全日制,专业：13(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京林业大学,北京,A,0,1,1,统考,经济管理学院,(025200)(专业学位)应用统计,全日制,专业：20(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京师范大学,北京,A,1,1,1,统考,统计学院,(025200)(专业学位)应用统计,全日制,研究方向：20(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京师范大学,北京,A,1,1,1,统考,统计学院,(025200)(专业学位)应用统计,全日制,研究方向：44(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
北京师范大学,北京,A,1,1,1,统考,统计学院,(025200)(专业学位)应用统计,全日制,研究方向：44(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
首都师范大学,北京,A,0,0,1,统考,数学科学学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
首都师范大学,北京,A,0,0,1,统考,数学科学学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
首都师范大学,北京,A,0,0,1,统考,数学科学学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
首都师范大学,北京,A,0,0,1,统考,数学科学学院,(025200)(专业学位)应用统计,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
中央财经大学,北京,A,0,1,1,统考,统计与数学学院,(025200)(专业学位)应用统计,全日制,专业：19(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
中央财经大学,北京,A,0,1,1,统考,统计与数学学院,(025200)(专业学位)应用统计,全日制,专业：19(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
中央财经大学,北京,A,0,1,1,统考,统计与数学学院,(025200)(专业学位)应用统计,全日制,专业：19(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
对外经济贸易大学,北京,A,0,1,1,统考,统计学院,(025200)(专业学位)应用统计,全日制,专业：38(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
对外经济贸易大学,北京,A,0,1,1,统考,统计学院,(025200)(专业学位)应用统计,全日制,专业：38(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
对外经济贸易大学,北京,A,0,1,1,统考,统计学院,(025200)(专业学位)应用统计,全日制,专业：38(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(432)统计学
中央民族大学,北京,A,1,1,1,统考,理学院,(025200)(专业学位)应用统计,全日制,专业：34(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华北电力大学,北京,A,0,1,1,统考,数理学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华北电力大学,北京,A,0,1,1,统考,数理学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
华北电力大学,北京,A,0,1,1,统考,数理学院,(025200)(专业学位)应用统计,全日制,专业：36(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(432)统计学
