学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
北京大学,北京,A,1,1,1,统考,经济学院,(025300)(专业学位)税务,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(433)税务专业基础
中国人民大学,北京,A,1,1,1,统考,财政金融学院,(025300)(专业学位)税务,全日制,专业：34(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(433)税务专业基础
中国人民大学,北京,A,1,1,1,统考,财政金融学院,(025300)(专业学位)税务,全日制,专业：34(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(433)税务专业基础
南开大学,天津,A,1,1,1,统考,经济学院,(025300)(专业学位)税务,全日制,专业：10(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(433)税务专业基础
吉林大学,吉林,A,1,1,1,统考,经济学院,(025300)(专业学位)税务,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(433)税务专业基础
复旦大学,上海,A,1,1,1,统考,经济学院,(025300)(专业学位)税务,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(433)税务专业基础
复旦大学,上海,A,1,1,1,统考,经济学院,(025300)(专业学位)税务,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(433)税务专业基础
浙江大学,浙江,A,1,1,1,统考,经济学院,(025300)(专业学位)税务,全日制,专业：13(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(433)税务专业基础
厦门大学,福建,A,1,1,1,统考,财政系,(025300)(专业学位)税务,全日制,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(433)税务专业基础
山东大学,山东,A,1,1,1,统考,经济学院,(025300)(专业学位)税务,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(433)税务专业基础
山东大学,山东,A,1,1,1,统考,经济学院,(025300)(专业学位)税务,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(433)税务专业基础
山东大学,山东,A,1,1,1,统考,经济学院,(025300)(专业学位)税务,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(433)税务专业基础
湖南大学,湖南,A,1,1,1,统考,经济与贸易学院,(025300)(专业学位)税务,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(433)税务专业基础
西安交通大学,陕西,A,1,1,1,统考,经济与金融学院,(025300)(专业学位)税务,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(433)税务专业基础
