学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
北京大学,北京,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
中国人民大学,北京,A,1,1,1,统考,经济学院（专业学位）,(025400)(专业学位)国际商务,全日制,专业：53(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(434)国际商务专业基础,(101)思想政治理论,(202)俄语,(396)经济类综合能力,(434)国际商务专业基础,(101)思想政治理论,(203)日语,(396)经济类综合能力,(434)国际商务专业基础
中国人民大学,北京,A,1,1,1,统考,经济学院（专业学位）,(025400)(专业学位)国际商务,全日制,专业：53(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(434)国际商务专业基础,(101)思想政治理论,(202)俄语,(396)经济类综合能力,(434)国际商务专业基础,(101)思想政治理论,(203)日语,(396)经济类综合能力,(434)国际商务专业基础
中国人民大学,北京,A,1,1,1,统考,商学院（专业学位）,(025400)(专业学位)国际商务,全日制,专业：22(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(434)国际商务专业基础
中国人民大学,北京,A,1,1,1,统考,商学院（专业学位）,(025400)(专业学位)国际商务,全日制,专业：22(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(434)国际商务专业基础
北京师范大学,北京,A,1,1,1,统考,经济与工商管理学院,(025400)(专业学位)国际商务,全日制,专业：32(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
中央民族大学,北京,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：32(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
南开大学,天津,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：24(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
东北大学,辽宁,A,1,1,1,统考,工商管理学院,(025400)(专业学位)国际商务,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
东北大学,辽宁,A,1,1,1,统考,工商管理学院,(025400)(专业学位)国际商务,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
东北大学,辽宁,A,1,1,1,统考,工商管理学院,(025400)(专业学位)国际商务,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
东北大学,辽宁,A,1,1,1,统考,工商管理学院,(025400)(专业学位)国际商务,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
东北大学,辽宁,A,1,1,1,统考,工商管理学院,(025400)(专业学位)国际商务,全日制,专业：2(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
吉林大学,吉林,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：15(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(434)国际商务专业基础
复旦大学,上海,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
复旦大学,上海,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
复旦大学,上海,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
华东师范大学,上海,A,1,1,1,统考,经济与管理学部专业学位教育中心,(025400)(专业学位)国际商务,全日制,专业：12(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
南京大学,江苏,A,1,1,1,统考,商学院,(025400)(专业学位)国际商务,全日制,专业：9(不含推免),(101)思想政治理论,(202)俄语,(303)数学（三）,(434)国际商务专业基础,(101)思想政治理论,(203)日语,(303)数学（三）,(434)国际商务专业基础,(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
东南大学,江苏,A,1,1,1,统考,苏州联合研究生院,(025400)(专业学位)国际商务,全日制,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(434)国际商务专业基础
东南大学,江苏,A,1,1,1,统考,苏州联合研究生院,(025400)(专业学位)国际商务,全日制,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(434)国际商务专业基础
东南大学,江苏,A,1,1,1,统考,苏州联合研究生院,(025400)(专业学位)国际商务,全日制,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(434)国际商务专业基础
东南大学,江苏,A,1,1,1,统考,苏州联合研究生院,(025400)(专业学位)国际商务,全日制,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(434)国际商务专业基础
浙江大学,浙江,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：21(不含推免),(101)思想政治理论,(201)英语（一）,(396)经济类综合能力,(434)国际商务专业基础
厦门大学,福建,A,1,1,1,统考,国际经济与贸易系,(025400)(专业学位)国际商务,全日制,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(303)数学（三）,(434)国际商务专业基础
山东大学,山东,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
山东大学,山东,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
山东大学,山东,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：8(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
中国海洋大学,山东,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：24(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
华中科技大学,湖北,A,1,1,1,统考,经济学院,(025400)(专业学位)国际商务,全日制,专业：13(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
湖南大学,湖南,A,1,1,1,统考,经济与贸易学院,(025400)(专业学位)国际商务,全日制,专业：51(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
中山大学,广东,A,1,1,1,统考,岭南学院,(025400)(专业学位)国际商务,全日制,专业：4(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
中山大学,广东,A,1,1,1,统考,岭南学院,(025400)(专业学位)国际商务,非全日制,专业：50(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
华南理工大学,广东,A,1,1,1,统考,经济与金融学院,(025400)(专业学位)国际商务,全日制,专业：6(不含推免),(101)思想政治理论,(204)英语（二）,(396)经济类综合能力,(434)国际商务专业基础
西安交通大学,陕西,A,1,1,1,统考,经济与金融学院,(025400)(专业学位)国际商务,全日制,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(303)数学（三）,(434)国际商务专业基础
