学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
北京大学,北京,A,1,1,1,统考,物理学院,(085400)(专业学位)电子信息,全日制,专业：18(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)普通物理
北京大学,北京,A,1,1,1,统考,软件与微电子学院,(085400)(专业学位)电子信息,全日制,研究方向：55(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,软件与微电子学院,(085400)(专业学位)电子信息,全日制,研究方向：60(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,软件与微电子学院,(085400)(专业学位)电子信息,全日制,研究方向：60(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,软件与微电子学院,(085400)(专业学位)电子信息,全日制,研究方向：40(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,软件与微电子学院,(085400)(专业学位)电子信息,全日制,研究方向：11(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,软件与微电子学院,(085400)(专业学位)电子信息,全日制,研究方向：79(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(827)电子信息基础
北京大学,北京,A,1,1,1,统考,软件与微电子学院,(085400)(专业学位)电子信息,全日制,研究方向：19(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(836)语言信息综合
北京大学,北京,A,1,1,1,统考,软件与微电子学院,(085400)(专业学位)电子信息,全日制,研究方向：104(不含推免),(101)思想政治理论,(201)英语（一）,(302)数学（二）,(828)经济学综合
中国人民大学,北京,A,1,1,1,统考,信息学院（专业学位）,(085400)(专业学位)电子信息,全日制,专业：23(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(408)计算机学科专业基础
清华大学,北京,A,1,1,1,统考,精密仪器系,(085400)(专业学位)电子信息,全日制,研究方向：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制工程基础
清华大学,北京,A,1,1,1,统考,精密仪器系,(085400)(专业学位)电子信息,全日制,研究方向：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制工程基础
清华大学,北京,A,1,1,1,统考,精密仪器系,(085400)(专业学位)电子信息,全日制,研究方向：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(822)控制工程基础
清华大学,北京,A,1,1,1,统考,电子工程系,(085400)(专业学位)电子信息,全日制,专业：29(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(957)电子信息科学专业基础
