学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,农业与农村发展学院,(095137)(专业学位)农业管理,全日制,专业：40(不含推免),(101)思想政治理论,(203)日语,(342)农业知识综合四,(834)经济学（宏观、微观）,(101)思想政治理论,(204)英语（二）,(342)农业知识综合四,(834)经济学（宏观、微观）,-,-,-,-,-,-,-,-
中国人民大学,北京,A,985，211，双一流,统考,农业与农村发展学院,(095137)(专业学位)农业管理,全日制,专业：40(不含推免),(101)思想政治理论,(203)日语,(342)农业知识综合四,(834)经济学（宏观、微观）,(101)思想政治理论,(204)英语（二）,(342)农业知识综合四,(834)经济学（宏观、微观）,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,农学院,(095131)(专业学位)农艺与种业,全日制,专业：58(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(881)作物栽培育种与种子科学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,农学院,(095131)(专业学位)农艺与种业,全日制,专业：58(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(881)作物栽培育种与种子科学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,资源与环境学院,(095132)(专业学位)资源利用与植物保护,全日制,专业：97(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(864)植物营养学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,动物科学技术学院,(095133)(专业学位)畜牧,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(340)农业知识综合二,(875)畜禽生产学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,动物科学技术学院,(095133)(专业学位)畜牧,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(340)农业知识综合二,(875)畜禽生产学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,动物科学技术学院,(095133)(专业学位)畜牧,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(340)农业知识综合二,(875)畜禽生产学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,动物科学技术学院,(095133)(专业学位)畜牧,全日制,专业：65(不含推免),(101)思想政治理论,(204)英语（二）,(340)农业知识综合二,(875)畜禽生产学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,食品科学与营养工程学院,(095135)(专业学位)食品加工与安全,全日制,专业：35(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(867)食品加工工艺学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,信息与电气工程学院,(095136)(专业学位)农业工程与信息技术,全日制,专业：9(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(821)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,理学院,(095132)(专业学位)资源利用与植物保护,全日制,专业：21(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(808)综合化学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,人文与发展学院,(095138)(专业学位)农村发展,全日制,专业：43(不含推免),(101)思想政治理论,(204)英语（二）,(342)农业知识综合四,(874)农村社会调查研究方法,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,园艺学院,(095131)(专业学位)农艺与种业,全日制,专业：48(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(861)园艺作物育种与栽培,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,植物保护学院,(095132)(专业学位)资源利用与植物保护,全日制,专业：51(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(862)植物保护学,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,土地科学与技术学院,(095132)(专业学位)资源利用与植物保护,全日制,专业：18(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(880)土地科学综合,-,-,-,-,-,-,-,-,-,-,-,-
中国农业大学,北京,A,985，211，双一流,统考,草业科学与技术学院,(095131)(专业学位)农艺与种业,全日制,专业：24(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(865)草地学,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,生物与资源环境学院,(095132)(专业学位)资源利用与植物保护,全日制,专业：35(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(813)资源环境综合基础,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,生物与资源环境学院,(095132)(专业学位)资源利用与植物保护,全日制,专业：35(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(811)植物保护基础,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,植物科学技术学院,(095131)(专业学位)农艺与种业,全日制,专业：60(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(820)作物育种学,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,植物科学技术学院,(095131)(专业学位)农艺与种业,全日制,专业：60(不含推免),(101)思想政治理论,(204)英语（二）,(339)农业知识综合一,(810)园艺通论,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,动物科学技术学院,(095133)(专业学位)畜牧,全日制,专业：17(不含推免),(101)思想政治理论,(204)英语（二）,(340)农业知识综合二,(814)畜牧基础,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,经济管理学院,(095137)(专业学位)农业管理,全日制,专业：37(不含推免),(101)思想政治理论,(204)英语（二）,(342)农业知识综合四,(803)经济学,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,食品科学与工程学院,(095135)(专业学位)食品加工与安全,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(816)食品工艺学,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,计算机与信息工程学院,(095136)(专业学位)农业工程与信息技术,全日制,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(821)现代农业与农业信息化,-,-,-,-,-,-,-,-,-,-,-,-
北京农学院,北京,A,普通院校,统考,文法与城乡发展学院,(095138)(专业学位)农村发展,全日制,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(342)农业知识综合四,(828)乡村治理与乡村建设,-,-,-,-,-,-,-,-,-,-,-,-
北京林业大学,北京,A,211，双一流,统考,林学院,(095136)(专业学位)农业工程与信息技术,全日制,专业：12(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(806)测绘地理信息学基础,-,-,-,-,-,-,-,-,-,-,-,-
北京林业大学,北京,A,211，双一流,统考,生物科学与技术学院,(095135)(专业学位)食品加工与安全,全日制,专业：58(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(837)食品化学,-,-,-,-,-,-,-,-,-,-,-,-
北京林业大学,北京,A,211，双一流,统考,信息学院,(095136)(专业学位)农业工程与信息技术,全日制,专业：15(不含推免),(101)思想政治理论,(204)英语（二）,(341)农业知识综合三,(840)数据库原理及应用,-,-,-,-,-,-,-,-,-,-,-,-
