学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
中国工程物理研究院,北京,A,普通院校,统考,北京应用物理与计算数学研究所,(077502)计算机软件与理论,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(815)计算机综合,-,-,-,-,-,-,-,-,-,-,-,-
中国工程物理研究院,北京,A,普通院校,统考,北京应用物理与计算数学研究所,(077502)计算机软件与理论,全日制,专业：0(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(815)计算机综合,-,-,-,-,-,-,-,-,-,-,-,-
天津师范大学,天津,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(603)数学（含高等数学、线性代数）,(808)数据结构与C++程序设计,-,-,-,-,-,-,-,-,-,-,-,-
天津师范大学,天津,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(603)数学（含高等数学、线性代数）,(808)数据结构与C++程序设计,-,-,-,-,-,-,-,-,-,-,-,-
天津师范大学,天津,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(603)数学（含高等数学、线性代数）,(808)数据结构与C++程序设计,-,-,-,-,-,-,-,-,-,-,-,-
天津师范大学,天津,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(603)数学（含高等数学、线性代数）,(808)数据结构与C++程序设计,-,-,-,-,-,-,-,-,-,-,-,-
天津师范大学,天津,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(603)数学（含高等数学、线性代数）,(808)数据结构与C++程序设计,-,-,-,-,-,-,-,-,-,-,-,-
天津师范大学,天津,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(603)数学（含高等数学、线性代数）,(808)数据结构与C++程序设计,-,-,-,-,-,-,-,-,-,-,-,-
天津师范大学,天津,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(603)数学（含高等数学、线性代数）,(808)数据结构与C++程序设计,-,-,-,-,-,-,-,-,-,-,-,-
天津师范大学,天津,A,普通院校,统考,计算机与信息工程学院,(077500)计算机科学与技术,全日制,专业：23(不含推免),(101)思想政治理论,(201)英语（一）,(603)数学（含高等数学、线性代数）,(808)数据结构与C++程序设计,-,-,-,-,-,-,-,-,-,-,-,-
