学校,所在地,AB区,985院校,211院校,双一流院校,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试
北京大学,北京,A,1,1,1,统考,深圳研究生院,(081203)计算机应用技术,全日制,专业：28(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
北京大学,北京,A,1,1,1,统考,信息科学技术学院,(081201)计算机系统结构,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
