学校,所在地,AB区,院校建设计划,考试方式,学院,专业,学习方式,招生人数,政治考试,外语考试,专业课1考试,专业课二考试,-,-,-,-,-,-,-,-,-,-,-,-
清华大学,北京,A,985，211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(914)软件工程基础综合,-,-,-,-,-,-,-,-,-,-,-,-
北京交通大学,北京,A,211，双一流,统考,计算机与信息技术学院,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础,-,-,-,-,-,-,-,-,-,-,-,-
北京交通大学,北京,A,211，双一流,统考,计算机与信息技术学院,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础,-,-,-,-,-,-,-,-,-,-,-,-
北京交通大学,北京,A,211，双一流,统考,计算机与信息技术学院,(083500)软件工程,全日制,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础,-,-,-,-,-,-,-,-,-,-,-,-
北京交通大学,北京,A,211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(901)软件工程,-,-,-,-,-,-,-,-,-,-,-,-
北京交通大学,北京,A,211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(901)软件工程,-,-,-,-,-,-,-,-,-,-,-,-
北京交通大学,北京,A,211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(901)软件工程,-,-,-,-,-,-,-,-,-,-,-,-
北京交通大学,北京,A,211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(901)软件工程,-,-,-,-,-,-,-,-,-,-,-,-
北京工业大学,北京,A,211，双一流,统考,信息学部软件学院,(083500)软件工程,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(893)软件工程学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
北京工业大学,北京,A,211，双一流,统考,信息学部软件学院,(083500)软件工程,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(893)软件工程学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
北京工业大学,北京,A,211，双一流,统考,信息学部软件学院,(083500)软件工程,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(893)软件工程学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
北京工业大学,北京,A,211，双一流,统考,信息学部软件学院,(083500)软件工程,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(893)软件工程学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
北京工业大学,北京,A,211，双一流,统考,信息学部软件学院,(083500)软件工程,全日制,专业：11(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(893)软件工程学科专业基础,-,-,-,-,-,-,-,-,-,-,-,-
北京航空航天大学,北京,A,985，211，双一流,统考,计算机学院,(083500)软件工程,全日制,专业：16(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(961)计算机基础综合,-,-,-,-,-,-,-,-,-,-,-,-
北京航空航天大学,北京,A,985，211，双一流,统考,软件学院,(083500)软件工程,全日制,专业：8(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(991)数据结构与C语言程序设计,-,-,-,-,-,-,-,-,-,-,-,-
北京化工大学,北京,A,211，双一流,统考,信息科学与技术学院,(083500)软件工程,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
北京化工大学,北京,A,211，双一流,统考,信息科学与技术学院,(083500)软件工程,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
北京化工大学,北京,A,211，双一流,统考,信息科学与技术学院,(083500)软件工程,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
北京化工大学,北京,A,211，双一流,统考,信息科学与技术学院,(083500)软件工程,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
北京化工大学,北京,A,211，双一流,统考,信息科学与技术学院,(083500)软件工程,全日制,专业：9(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(842)数据结构,-,-,-,-,-,-,-,-,-,-,-,-
北京邮电大学,北京,A,211，双一流,统考,计算机学院（国家示范性软件学院）,(083500)软件工程,全日制,专业：19(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(807)软件工程专业综合,-,-,-,-,-,-,-,-,-,-,-,-
首都师范大学,北京,A,双一流,统考,信息工程学院,(083500)软件工程,全日制,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(908)数据结构,(101)思想政治理论,(203)日语,(301)数学（一）,(908)数据结构,-,-,-,-,-,-,-,-
